datasetURL (publicationState),datasetTitle (dataverseName),"fileName (fileType, fileSize)"
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XOKGGW (DRAFT),"Immune and Sex-Biased Gene Expression in the  threatened Mojave Desert tortoise,  Gopherus agassizii (Harvard Dataverse)",DEGs_unique_highcov_sex_MF_padj05.tab (text/tab-separated-values; 203.86 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XOKGGW (DRAFT),"Immune and Sex-Biased Gene Expression in the  threatened Mojave Desert tortoise,  Gopherus agassizii (Harvard Dataverse)",Drake_DEseq_ModelOrg_BioSample_spreadsheet.tab (text/tab-separated-values; 9.8 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XOKGGW (DRAFT),"Immune and Sex-Biased Gene Expression in the  threatened Mojave Desert tortoise,  Gopherus agassizii (Harvard Dataverse)",Drake_DEseq_SRA_metadata.tab (text/tab-separated-values; 3.27 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XOKGGW (DRAFT),"Immune and Sex-Biased Gene Expression in the  threatened Mojave Desert tortoise,  Gopherus agassizii (Harvard Dataverse)",Drake_DEseq_SRA_metadata.txt (text/plain; 16.35 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XOKGGW (DRAFT),"Immune and Sex-Biased Gene Expression in the  threatened Mojave Desert tortoise,  Gopherus agassizii (Harvard Dataverse)",gProfiler_unique__highcov_immune_combo_MF.tab (text/tab-separated-values; 15.68 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XOKGGW (DRAFT),"Immune and Sex-Biased Gene Expression in the  threatened Mojave Desert tortoise,  Gopherus agassizii (Harvard Dataverse)",gProfiler_unique__highcov_puncture_OF.tab (text/tab-separated-values; 15.23 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XOKGGW (DRAFT),"Immune and Sex-Biased Gene Expression in the  threatened Mojave Desert tortoise,  Gopherus agassizii (Harvard Dataverse)",gProfiler_unique__highcov_sex_MF_padj0.05.tab (text/tab-separated-values; 167.56 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XOKGGW (DRAFT),"Immune and Sex-Biased Gene Expression in the  threatened Mojave Desert tortoise,  Gopherus agassizii (Harvard Dataverse)",Revigo_unique__highcov_immune_combo_MF.tab (text/tab-separated-values; 7.81 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XOKGGW (DRAFT),"Immune and Sex-Biased Gene Expression in the  threatened Mojave Desert tortoise,  Gopherus agassizii (Harvard Dataverse)",Revigo_unique__highcov_puncture_OF.tab (text/tab-separated-values; 9.07 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XOKGGW (DRAFT),"Immune and Sex-Biased Gene Expression in the  threatened Mojave Desert tortoise,  Gopherus agassizii (Harvard Dataverse)",Revigo_unique__highcov_sex_MF_padj0.05.tab (text/tab-separated-values; 17.56 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IDSVVE (DRAFT),Adolescent idiopathic scoliosis vertebra rotation pattern data (Harvard Dataverse),Data repository_AIS rotation.tab (text/tab-separated-values; 88.36 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/AG7YDO (DRAFT),Replication Data for Haussner/Kaeding: Political equality without social equality? (Research & Politics Dataverse),(no files found)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FWYJRK (DRAFT),Rmd file to run the summary_HTML function (GapAnalysisR),summaryHTML.Rmd (application/octet-stream; 7.23 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DFXUVM (DRAFT),Intrastate Armed Conflict Termination and Foreign Direct Investment (Foreign Policy Analysis Dataverse),fdifinal_regression.tab (text/tab-separated-values; 537.02 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DFXUVM (DRAFT),Intrastate Armed Conflict Termination and Foreign Direct Investment (Foreign Policy Analysis Dataverse),FPA_replication.do (application/x-stata-syntax; 18.67 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DFXUVM (DRAFT),Intrastate Armed Conflict Termination and Foreign Direct Investment (Foreign Policy Analysis Dataverse),FPA_replication_log.smcl (application/x-stata-smcl; 315.36 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DFXUVM (DRAFT),Intrastate Armed Conflict Termination and Foreign Direct Investment (Foreign Policy Analysis Dataverse),kreutzpr.tab (text/tab-separated-values; 261.79 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ALNNDX (DRAFT),"Replication Data for: ENTREPRENEURSHIP, STRESSORS, AND NEGATIVE AFFECT: UNPACKING THE MYTH BASED ON EVIDENCE OF DAILY DIARIES (Harvard Dataverse)",Final data.dta (application/x-stata-14; 61.4 MB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ALNNDX (DRAFT),"Replication Data for: ENTREPRENEURSHIP, STRESSORS, AND NEGATIVE AFFECT: UNPACKING THE MYTH BASED ON EVIDENCE OF DAILY DIARIES (Harvard Dataverse)",Stressor ent.do (application/x-stata-syntax; 28.95 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/M4LM4Z (RELEASED),"Evidence, Politics, and Education Policy (Harvard Dataverse)",Interview Guides_2020-04-27.docx (application/vnd.openxmlformats-officedocument.wordprocessingml.document; 29.29 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/UMJVWA (DRAFT),Replication Data for: A Neural Network forecasting Intensive Care Unit patient mortality based on the MIMIC-III critical care database. (Harvard Dataverse),(no files found)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),00_master.R (type/x-r-syntax; 2.14 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),01_data_prep.R (type/x-r-syntax; 10.62 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),02_topic_run.R (type/x-r-syntax; 5.6 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),03_model_prep.R (type/x-r-syntax; 2.15 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),04_models_run.R (type/x-r-syntax; 14.88 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),05_models_run_MCMC.R (type/x-r-syntax; 4.93 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),06_analysis.R (type/x-r-syntax; 34.88 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),07_prep_approval.R (type/x-r-syntax; 5.92 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),08_approval_model_prep.R (type/x-r-syntax; 1.07 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),09_approval_run.R (type/x-r-syntax; 3.4 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),10_approval_analysis.R (type/x-r-syntax; 7.95 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),11_petition_analysis.R (type/x-r-syntax; 6.15 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),12_topic_analysis-1.R (type/x-r-syntax; 6.13 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),13_tweets.R (type/x-r-syntax; 684 bytes)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),1_stan_simple_approval.R (type/x-r-syntax; 1.82 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),1_stan_simple.R (type/x-r-syntax; 1.88 KB)
https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ECWIXM (DRAFT),Replication Data for: Online Activism and Dyadic Representation: Evidence from the UK E-Petition System (Legislative Studies Quarterly),2_stan_alpha_approval.R (type/x-r-syntax; 2.67 KB)
